,checking_account,duration,credit_history,purpose,credit_amount,savings_account,present_employment_since,installment_rate,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age,installment_plans,housing,credits,job,number_people_maitenance,telephone,foreign,risk
190,None,24,existing_credits_paid,business,4591,>=1000,1<=x<4,2,male_single,None,3,savings_insurance,54,None,own,3,management,1,yes,yes,bad
191,0<=x<200,48,no_credits_taken,business,3844,100<=x<500,4<=x<7,4,male_single,None,4,unknown,34,None,for_free,1,unskilled,2,none,yes,bad
192,0<=x<200,27,existing_credits_paid,business,3915,<100,1<=x<4,4,male_single,None,2,car_other,36,None,own,1,skilled,2,yes,yes,bad
193,None,6,existing_credits_paid,radio/tv,2108,<100,4<=x<7,2,male_married/widowed,None,2,real_estate,29,None,rent,1,skilled,1,none,yes,good
194,0<=x<200,45,existing_credits_paid,radio/tv,3031,100<=x<500,1<=x<4,4,male_single,guarantor,4,savings_insurance,21,None,rent,1,skilled,1,none,yes,bad
195,0<=x<200,9,critical,education,1501,<100,>=7,2,female_divorced/separated/married,None,3,car_other,34,None,own,2,management,1,yes,yes,bad
196,None,6,critical,radio/tv,1382,<100,1<=x<4,1,female_divorced/separated/married,None,1,car_other,28,None,own,2,skilled,1,yes,yes,good
197,0<=x<200,12,existing_credits_paid,furniture/equipment,951,100<=x<500,<1,4,female_divorced/separated/married,None,4,car_other,27,bank,rent,4,skilled,1,none,yes,bad
198,0<=x<200,24,existing_credits_paid,car_used,2760,unknown,>=7,4,male_single,None,4,unknown,36,bank,for_free,1,skilled,1,yes,yes,good
199,0<=x<200,18,delay_in_past,furniture/equipment,4297,<100,>=7,4,male_divorced/separated,None,3,unknown,40,None,own,1,management,1,yes,yes,bad
200,None,9,critical,education,936,500<=x<1000,>=7,4,male_single,None,2,car_other,52,None,own,2,skilled,1,yes,yes,good
201,<0,12,existing_credits_paid,car_new,1168,<100,1<=x<4,4,male_married/widowed,None,3,real_estate,27,None,own,1,unskilled,1,none,yes,good
202,None,27,delay_in_past,business,5117,<100,4<=x<7,3,male_single,None,4,car_other,26,None,own,2,skilled,1,none,yes,good
203,<0,12,existing_credits_paid,retraining,902,<100,4<=x<7,4,male_married/widowed,None,4,savings_insurance,21,None,rent,1,skilled,1,none,yes,bad
204,None,12,critical,car_new,1495,<100,>=7,4,male_single,None,1,real_estate,38,None,own,2,unskilled,2,none,yes,good
205,<0,30,critical,car_used,10623,<100,>=7,3,male_single,None,4,unknown,38,None,for_free,3,management,2,yes,yes,good
206,None,12,critical,furniture/equipment,1935,<100,>=7,4,male_single,None,4,real_estate,43,None,own,3,skilled,1,yes,yes,good
207,0<=x<200,12,critical,domestic_appliances,1424,<100,4<=x<7,4,male_single,None,3,savings_insurance,26,None,own,1,skilled,1,none,yes,good
208,<0,24,existing_credits_paid,business,6568,<100,1<=x<4,2,male_married/widowed,None,2,car_other,21,stores,own,1,unskilled,1,none,yes,good
209,None,12,existing_credits_paid,car_used,1413,>=1000,4<=x<7,3,male_single,None,2,savings_insurance,55,None,own,1,skilled,1,none,no,good
210,None,9,critical,radio/tv,3074,unknown,1<=x<4,1,male_single,None,2,real_estate,33,None,own,2,skilled,2,none,yes,good
211,None,36,existing_credits_paid,radio/tv,3835,unknown,>=7,2,female_divorced/separated/married,None,4,real_estate,45,None,own,1,unskilled,1,yes,yes,good
212,<0,27,no_credits_taken,business,5293,<100,unemployed,2,male_single,None,4,savings_insurance,50,stores,own,2,skilled,1,yes,yes,bad
213,>=200,30,delay_in_past,business,1908,<100,>=7,4,male_single,None,4,real_estate,66,None,own,1,management,1,yes,yes,bad
214,None,36,critical,radio/tv,3342,unknown,>=7,4,male_single,None,2,car_other,51,None,own,1,skilled,1,yes,yes,good
215,0<=x<200,6,critical,retraining,932,unknown,4<=x<7,1,female_divorced/separated/married,None,3,savings_insurance,39,None,own,2,unskilled,1,none,yes,good
216,<0,18,no_credits_taken,business,3104,<100,4<=x<7,3,male_single,None,1,savings_insurance,31,bank,own,1,skilled,1,yes,yes,good
217,>=200,36,existing_credits_paid,radio/tv,3913,<100,1<=x<4,2,male_single,None,2,real_estate,23,None,own,1,skilled,1,yes,yes,good
218,<0,24,existing_credits_paid,furniture/equipment,3021,<100,1<=x<4,2,male_divorced/separated,None,2,real_estate,24,None,rent,1,unskilled,1,none,yes,good
219,None,10,existing_credits_paid,car_new,1364,<100,1<=x<4,2,female_divorced/separated/married,None,4,car_other,64,None,own,1,skilled,1,yes,yes,good
220,0<=x<200,12,existing_credits_paid,radio/tv,625,<100,<1,4,male_married/widowed,guarantor,1,real_estate,26,bank,own,1,unskilled,1,none,yes,good
221,<0,12,existing_credits_paid,education,1200,unknown,1<=x<4,4,female_divorced/separated/married,None,4,savings_insurance,23,bank,rent,1,skilled,1,yes,yes,good
222,None,12,existing_credits_paid,radio/tv,707,<100,1<=x<4,4,male_single,None,2,real_estate,30,bank,own,2,skilled,1,none,yes,good
223,None,24,delay_in_past,business,2978,unknown,1<=x<4,4,male_single,None,4,real_estate,32,None,own,2,skilled,2,yes,yes,good
224,None,15,existing_credits_paid,car_used,4657,<100,1<=x<4,3,male_single,None,2,car_other,30,None,own,1,skilled,1,yes,yes,good
225,None,36,no_credits_taken,repairs,2613,<100,1<=x<4,4,male_single,None,2,car_other,27,None,own,2,skilled,1,none,yes,good
226,0<=x<200,48,existing_credits_paid,radio/tv,10961,>=1000,4<=x<7,1,male_single,co-applicant,2,unknown,27,bank,own,2,skilled,1,yes,yes,bad
227,<0,12,existing_credits_paid,furniture/equipment,7865,<100,>=7,4,male_single,None,4,unknown,53,None,for_free,1,management,1,yes,yes,bad
228,None,9,existing_credits_paid,radio/tv,1478,<100,4<=x<7,4,male_single,None,2,car_other,22,None,own,1,skilled,1,none,yes,bad
229,<0,24,existing_credits_paid,furniture/equipment,3149,<100,<1,4,male_single,None,1,unknown,22,bank,for_free,1,skilled,1,none,yes,good
230,>=200,36,existing_credits_paid,radio/tv,4210,<100,1<=x<4,4,male_single,None,2,car_other,26,None,own,1,skilled,1,none,yes,bad
231,None,9,existing_credits_paid,car_new,2507,500<=x<1000,>=7,2,male_single,None,4,unknown,51,None,for_free,1,unskilled,1,none,yes,good
232,None,12,existing_credits_paid,radio/tv,2141,100<=x<500,4<=x<7,3,male_single,None,1,unknown,35,None,own,1,skilled,1,none,yes,good
233,0<=x<200,18,existing_credits_paid,radio/tv,866,<100,1<=x<4,4,male_married/widowed,guarantor,2,real_estate,25,None,own,1,unskilled,1,none,yes,good
234,None,4,critical,radio/tv,1544,<100,4<=x<7,2,male_single,None,1,real_estate,42,None,own,3,unskilled,2,none,yes,good
235,<0,24,existing_credits_paid,radio/tv,1823,<100,unemployed,4,male_single,None,2,car_other,30,stores,own,1,management,2,none,yes,bad
236,0<=x<200,6,existing_credits_paid,car_new,14555,unknown,unemployed,1,male_single,None,2,savings_insurance,23,None,own,1,unemployed,1,yes,yes,bad
237,0<=x<200,21,existing_credits_paid,business,2767,100<=x<500,>=7,4,male_divorced/separated,None,2,car_other,61,bank,rent,2,unskilled,1,none,yes,bad
238,None,12,critical,radio/tv,1291,<100,1<=x<4,4,female_divorced/separated/married,None,2,savings_insurance,35,None,own,2,skilled,1,none,yes,good
239,<0,30,existing_credits_paid,radio/tv,2522,<100,>=7,1,male_single,guarantor,3,savings_insurance,39,None,own,1,skilled,2,none,yes,good
240,<0,24,existing_credits_paid,car_new,915,unknown,>=7,4,female_divorced/separated/married,None,2,car_other,29,bank,own,1,skilled,1,none,yes,bad
241,None,6,existing_credits_paid,radio/tv,1595,<100,4<=x<7,3,male_single,None,2,savings_insurance,51,None,own,1,skilled,2,none,yes,good
242,<0,48,no_credits_taken,car_used,4605,<100,>=7,3,male_single,None,4,unknown,24,None,for_free,2,skilled,2,none,yes,bad
243,None,12,critical,business,1185,<100,1<=x<4,3,female_divorced/separated/married,None,2,real_estate,27,None,own,2,skilled,1,none,yes,good
244,None,12,all_credits_paid_bank,retraining,3447,500<=x<1000,1<=x<4,4,female_divorced/separated/married,None,3,real_estate,35,None,own,1,unskilled,2,none,yes,good
245,None,24,existing_credits_paid,business,1258,<100,4<=x<7,4,male_single,None,1,real_estate,25,None,own,1,skilled,1,yes,yes,good
246,None,12,critical,radio/tv,717,<100,>=7,4,male_single,None,4,real_estate,52,None,own,3,skilled,1,none,yes,good
247,None,6,no_credits_taken,car_new,1204,100<=x<500,1<=x<4,4,male_single,None,1,unknown,35,bank,rent,1,skilled,1,none,no,good
248,>=200,24,existing_credits_paid,furniture/equipment,1925,<100,1<=x<4,2,male_single,None,2,real_estate,26,None,own,1,skilled,1,none,yes,good
249,None,18,existing_credits_paid,radio/tv,433,<100,unemployed,3,female_divorced/separated/married,co-applicant,4,real_estate,22,None,rent,1,skilled,1,none,yes,bad
250,<0,6,critical,car_new,666,>=1000,4<=x<7,3,female_divorced/separated/married,None,4,real_estate,39,None,own,2,unskilled,1,yes,yes,good
251,>=200,12,existing_credits_paid,furniture/equipment,2251,<100,1<=x<4,1,female_divorced/separated/married,None,2,car_other,46,None,own,1,unskilled,1,none,yes,good
252,0<=x<200,30,existing_credits_paid,car_new,2150,<100,1<=x<4,4,female_divorced/separated/married,guarantor,2,unknown,24,bank,own,1,skilled,1,none,yes,bad
253,None,24,delay_in_past,furniture/equipment,4151,100<=x<500,1<=x<4,2,male_single,None,3,savings_insurance,35,None,own,2,skilled,1,none,yes,good
254,0<=x<200,9,existing_credits_paid,furniture/equipment,2030,unknown,4<=x<7,2,male_single,None,1,car_other,24,None,own,1,skilled,1,yes,yes,good
255,0<=x<200,60,delay_in_past,radio/tv,7418,unknown,1<=x<4,1,male_single,None,1,real_estate,27,None,own,1,unskilled,1,none,yes,good
256,None,24,critical,radio/tv,2684,<100,1<=x<4,4,male_single,None,2,real_estate,35,None,own,2,unskilled,1,none,yes,good
257,<0,12,all_credits_paid_bank,radio/tv,2149,<100,1<=x<4,4,male_divorced/separated,None,1,unknown,29,None,for_free,1,skilled,1,none,yes,bad
258,None,15,existing_credits_paid,car_used,3812,100<=x<500,<1,1,female_divorced/separated/married,None,4,car_other,23,None,own,1,skilled,1,yes,yes,good
259,None,11,critical,radio/tv,1154,100<=x<500,unemployed,4,female_divorced/separated/married,None,4,real_estate,57,None,own,3,unskilled,1,none,yes,good
260,<0,12,existing_credits_paid,furniture/equipment,1657,<100,1<=x<4,2,male_single,None,2,real_estate,27,None,own,1,skilled,1,none,yes,good
261,<0,24,existing_credits_paid,radio/tv,1603,<100,>=7,4,female_divorced/separated/married,None,4,car_other,55,None,own,1,skilled,1,none,yes,good
262,<0,18,critical,car_new,5302,<100,>=7,2,male_single,None,4,unknown,36,None,for_free,3,management,1,yes,yes,good
263,None,12,critical,education,2748,<100,>=7,2,female_divorced/separated/married,None,4,unknown,57,bank,for_free,3,unskilled,1,none,yes,good
264,None,10,critical,car_new,1231,<100,>=7,3,male_single,None,4,real_estate,32,None,own,2,unskilled,2,none,no,good
265,0<=x<200,15,existing_credits_paid,radio/tv,802,<100,>=7,4,male_single,None,3,car_other,37,None,own,1,skilled,2,none,yes,bad
266,None,36,critical,business,6304,unknown,>=7,4,male_single,None,4,real_estate,36,None,own,2,skilled,1,none,yes,good
267,None,24,existing_credits_paid,radio/tv,1533,<100,<1,4,female_divorced/separated/married,None,3,car_other,38,stores,own,1,skilled,1,yes,yes,good
268,<0,14,existing_credits_paid,car_new,8978,<100,>=7,1,male_divorced/separated,None,4,savings_insurance,45,None,own,1,management,1,yes,no,bad
269,None,24,existing_credits_paid,radio/tv,999,unknown,>=7,4,male_single,None,2,car_other,25,None,own,2,skilled,1,none,yes,good
270,None,18,existing_credits_paid,car_new,2662,unknown,4<=x<7,4,male_single,None,3,savings_insurance,32,None,own,1,skilled,1,none,no,good
271,None,12,critical,furniture/equipment,1402,500<=x<1000,4<=x<7,3,female_divorced/separated/married,None,4,car_other,37,None,rent,1,skilled,1,yes,yes,good
272,0<=x<200,48,all_credits_paid_bank,car_new,12169,unknown,unemployed,4,male_single,co-applicant,4,unknown,36,None,for_free,1,management,1,yes,yes,good
273,0<=x<200,48,existing_credits_paid,radio/tv,3060,<100,4<=x<7,4,male_single,None,4,real_estate,28,None,own,2,skilled,1,none,yes,bad
274,<0,30,existing_credits_paid,repairs,11998,<100,<1,1,male_divorced/separated,None,1,unknown,34,None,own,1,unskilled,1,yes,yes,bad
275,None,9,existing_credits_paid,radio/tv,2697,<100,1<=x<4,1,male_single,None,2,real_estate,32,None,own,1,skilled,2,none,yes,good
276,None,18,critical,radio/tv,2404,<100,1<=x<4,2,female_divorced/separated/married,None,2,car_other,26,None,own,2,skilled,1,none,yes,good
277,<0,12,existing_credits_paid,furniture/equipment,1262,unknown,>=7,2,male_divorced/separated,None,4,savings_insurance,49,None,own,1,unskilled,1,yes,yes,good
278,None,6,existing_credits_paid,furniture/equipment,4611,<100,<1,1,female_divorced/separated/married,None,4,savings_insurance,32,None,own,1,skilled,1,none,yes,bad
279,None,24,existing_credits_paid,radio/tv,1901,100<=x<500,1<=x<4,4,male_single,None,4,car_other,29,None,rent,1,management,1,yes,yes,good
280,None,15,critical,car_used,3368,>=1000,>=7,3,male_single,None,4,unknown,23,None,rent,2,skilled,1,yes,yes,good
281,None,12,existing_credits_paid,furniture/equipment,1574,<100,1<=x<4,4,male_single,None,2,real_estate,50,None,own,1,skilled,1,none,yes,good
282,>=200,18,all_credits_paid_bank,radio/tv,1445,unknown,4<=x<7,4,male_single,None,4,car_other,49,bank,own,1,unskilled,1,none,yes,good
283,None,15,critical,furniture/equipment,1520,unknown,>=7,4,male_single,None,4,savings_insurance,63,None,own,1,skilled,1,none,yes,good
284,0<=x<200,24,critical,car_new,3878,100<=x<500,<1,4,male_divorced/separated,None,2,car_other,37,None,own,1,skilled,1,yes,yes,good
285,<0,47,existing_credits_paid,car_new,10722,<100,<1,1,female_divorced/separated/married,None,1,real_estate,35,None,own,1,unskilled,1,yes,yes,good
286,<0,48,existing_credits_paid,car_used,4788,<100,4<=x<7,4,male_single,None,3,savings_insurance,26,None,own,1,skilled,2,none,yes,good
287,0<=x<200,48,delay_in_past,others,7582,100<=x<500,unemployed,2,male_single,None,4,unknown,31,None,for_free,1,management,1,yes,yes,good
288,0<=x<200,12,existing_credits_paid,radio/tv,1092,<100,1<=x<4,4,female_divorced/separated/married,guarantor,4,real_estate,49,None,own,2,skilled,1,yes,yes,good
289,<0,24,delay_in_past,radio/tv,1024,<100,<1,4,male_married/widowed,None,4,real_estate,48,stores,own,1,skilled,1,none,yes,bad
290,None,12,existing_credits_paid,business,1076,<100,1<=x<4,2,male_married/widowed,None,2,real_estate,26,None,own,1,skilled,1,yes,no,good
291,0<=x<200,36,existing_credits_paid,car_used,9398,<100,<1,1,male_married/widowed,None,4,car_other,28,None,rent,1,management,1,yes,yes,bad
292,<0,24,critical,car_used,6419,<100,>=7,2,female_divorced/separated/married,None,4,unknown,44,None,for_free,2,management,2,yes,yes,good
293,>=200,42,critical,car_used,4796,<100,>=7,4,male_single,None,4,unknown,56,None,for_free,1,skilled,1,none,yes,good
294,None,48,critical,business,7629,unknown,>=7,4,male_divorced/separated,None,2,car_other,46,bank,own,2,management,2,none,yes,good
295,0<=x<200,48,existing_credits_paid,furniture/equipment,9960,<100,<1,1,female_divorced/separated/married,None,2,car_other,26,None,own,1,skilled,1,yes,yes,bad
296,None,12,existing_credits_paid,car_used,4675,unknown,<1,1,female_divorced/separated/married,None,4,car_other,20,None,rent,1,skilled,1,none,yes,good
297,None,10,existing_credits_paid,car_new,1287,unknown,>=7,4,male_single,co-applicant,2,savings_insurance,45,None,own,1,unskilled,1,none,no,good
298,None,18,existing_credits_paid,furniture/equipment,2515,<100,1<=x<4,3,male_single,None,4,real_estate,43,None,own,1,skilled,1,yes,yes,good
299,0<=x<200,21,critical,furniture/equipment,2745,>=1000,4<=x<7,3,male_single,None,2,car_other,32,None,own,2,skilled,1,yes,yes,good
300,None,6,existing_credits_paid,car_new,672,<100,unemployed,1,female_divorced/separated/married,None,4,real_estate,54,None,own,1,unemployed,1,yes,yes,good
301,0<=x<200,36,no_credits_taken,radio/tv,3804,<100,1<=x<4,4,female_divorced/separated/married,None,1,car_other,42,None,own,1,skilled,1,yes,yes,bad
302,>=200,24,critical,car_new,1344,unknown,4<=x<7,4,male_single,None,2,real_estate,37,bank,own,2,unskilled,2,none,yes,bad
303,<0,10,critical,car_new,1038,<100,4<=x<7,4,male_single,co-applicant,3,savings_insurance,49,None,own,2,skilled,1,yes,yes,good
304,None,48,critical,car_new,10127,500<=x<1000,1<=x<4,2,male_single,None,2,unknown,44,bank,for_free,1,skilled,1,none,yes,bad
305,None,6,existing_credits_paid,furniture/equipment,1543,>=1000,1<=x<4,4,male_divorced/separated,None,2,real_estate,33,None,own,1,skilled,1,none,yes,good
306,None,30,existing_credits_paid,car_used,4811,unknown,4<=x<7,2,female_divorced/separated/married,None,4,savings_insurance,24,stores,rent,1,unskilled,1,none,yes,good
307,<0,12,existing_credits_paid,radio/tv,727,100<=x<500,<1,4,male_married/widowed,None,3,unknown,33,None,own,1,unskilled,1,yes,yes,bad
308,0<=x<200,8,existing_credits_paid,furniture/equipment,1237,<100,1<=x<4,3,female_divorced/separated/married,None,4,real_estate,24,None,own,1,skilled,1,none,yes,bad
309,0<=x<200,9,existing_credits_paid,car_new,276,<100,1<=x<4,4,male_married/widowed,None,4,real_estate,22,None,rent,1,unskilled,1,none,yes,good
310,0<=x<200,48,existing_credits_paid,others,5381,unknown,unemployed,3,male_single,None,4,unknown,40,bank,for_free,1,unemployed,1,yes,yes,good
311,None,24,existing_credits_paid,furniture/equipment,5511,100<=x<500,1<=x<4,4,male_single,None,1,car_other,25,stores,own,1,skilled,1,none,yes,good
312,>=200,24,existing_credits_paid,furniture/equipment,3749,<100,<1,2,female_divorced/separated/married,None,4,car_other,26,None,own,1,skilled,1,none,yes,good
313,0<=x<200,12,existing_credits_paid,car_new,685,<100,4<=x<7,2,male_married/widowed,None,3,car_other,25,bank,own,1,unskilled,1,none,yes,bad
314,>=200,4,existing_credits_paid,car_new,1494,unknown,<1,1,male_single,None,2,real_estate,29,None,own,1,unskilled,2,none,no,good
315,<0,36,all_credits_paid_bank,furniture/equipment,2746,<100,>=7,4,male_single,None,4,car_other,31,bank,own,1,skilled,1,none,yes,bad
316,<0,12,existing_credits_paid,furniture/equipment,708,<100,1<=x<4,2,male_single,guarantor,3,savings_insurance,38,None,own,1,unskilled,2,none,yes,good
317,0<=x<200,24,existing_credits_paid,furniture/equipment,4351,unknown,1<=x<4,1,female_divorced/separated/married,None,4,savings_insurance,48,None,own,1,unskilled,1,yes,yes,good
318,None,12,critical,education,701,<100,1<=x<4,4,male_single,None,2,car_other,32,None,own,2,skilled,1,none,yes,good
319,<0,15,delay_in_past,furniture/equipment,3643,<100,>=7,1,female_divorced/separated/married,None,4,savings_insurance,27,None,own,2,unskilled,1,none,yes,good
320,0<=x<200,30,critical,car_new,4249,<100,unemployed,4,male_married/widowed,None,2,car_other,28,None,own,2,management,1,none,yes,bad
321,<0,24,existing_credits_paid,radio/tv,1938,<100,<1,4,male_divorced/separated,None,3,savings_insurance,32,None,own,1,skilled,1,none,yes,bad
322,<0,24,existing_credits_paid,car_used,2910,<100,4<=x<7,2,male_single,None,1,unknown,34,None,for_free,1,management,1,yes,yes,good
323,<0,18,existing_credits_paid,furniture/equipment,2659,>=1000,1<=x<4,4,male_single,None,2,car_other,28,None,own,1,skilled,1,none,yes,good
324,None,18,critical,car_new,1028,<100,1<=x<4,4,female_divorced/separated/married,None,3,real_estate,36,None,own,2,skilled,1,none,yes,good
325,<0,8,critical,car_new,3398,<100,4<=x<7,1,male_single,None,4,real_estate,39,None,own,2,unskilled,1,none,no,good
326,None,12,critical,furniture/equipment,5801,unknown,>=7,2,male_single,None,4,savings_insurance,49,None,rent,1,skilled,1,yes,yes,good
327,None,24,existing_credits_paid,car_new,1525,>=1000,4<=x<7,4,female_divorced/separated/married,None,3,car_other,34,None,own,1,skilled,2,yes,yes,good
328,>=200,36,existing_credits_paid,radio/tv,4473,<100,>=7,4,male_single,None,2,car_other,31,None,own,1,skilled,1,none,yes,good
329,0<=x<200,6,existing_credits_paid,radio/tv,1068,<100,>=7,4,male_single,None,4,car_other,28,None,own,1,skilled,2,none,yes,good
330,<0,24,critical,car_used,6615,<100,unemployed,2,male_single,None,4,unknown,75,None,for_free,2,management,1,yes,yes,good
331,None,18,critical,education,1864,100<=x<500,1<=x<4,4,female_divorced/separated/married,None,2,real_estate,30,None,own,2,skilled,1,none,yes,bad
332,0<=x<200,60,existing_credits_paid,car_new,7408,100<=x<500,<1,4,female_divorced/separated/married,None,2,savings_insurance,24,None,own,1,management,1,none,yes,bad
333,None,48,critical,car_used,11590,100<=x<500,1<=x<4,2,female_divorced/separated/married,None,4,car_other,24,bank,rent,2,unskilled,1,none,yes,bad
334,<0,24,no_credits_taken,furniture/equipment,4110,<100,>=7,3,male_single,None,4,unknown,23,bank,rent,2,skilled,2,none,yes,bad
335,<0,6,critical,furniture/equipment,3384,<100,1<=x<4,1,male_divorced/separated,None,4,real_estate,44,None,rent,1,management,1,yes,yes,bad
336,0<=x<200,13,existing_credits_paid,radio/tv,2101,<100,<1,2,female_divorced/separated/married,guarantor,4,savings_insurance,23,None,own,1,unskilled,1,none,yes,good
337,<0,15,existing_credits_paid,domestic_appliances,1275,unknown,1<=x<4,4,female_divorced/separated/married,None,2,car_other,24,None,rent,1,skilled,1,none,yes,bad
338,<0,24,existing_credits_paid,furniture/equipment,4169,<100,1<=x<4,4,male_single,None,4,savings_insurance,28,None,own,1,skilled,1,none,yes,good
339,0<=x<200,10,existing_credits_paid,furniture/equipment,1521,<100,1<=x<4,4,male_divorced/separated,None,2,car_other,31,None,own,1,unskilled,1,none,yes,good
340,0<=x<200,24,critical,education,5743,<100,<1,2,female_divorced/separated/married,None,4,unknown,24,None,for_free,2,skilled,1,yes,yes,good
341,<0,21,existing_credits_paid,furniture/equipment,3599,<100,4<=x<7,1,female_divorced/separated/married,None,4,car_other,26,None,rent,1,unskilled,1,none,yes,good
342,0<=x<200,18,existing_credits_paid,radio/tv,3213,500<=x<1000,<1,1,male_married/widowed,None,3,real_estate,25,None,rent,1,skilled,1,none,yes,good
343,0<=x<200,18,existing_credits_paid,business,4439,<100,>=7,1,male_single,co-applicant,1,real_estate,33,bank,own,1,management,1,yes,yes,good
344,>=200,10,existing_credits_paid,car_new,3949,<100,<1,1,male_single,guarantor,1,savings_insurance,37,None,own,1,unskilled,2,none,yes,good
345,None,15,critical,radio/tv,1459,<100,1<=x<4,4,female_divorced/separated/married,None,2,car_other,43,None,own,1,unskilled,1,none,yes,good
346,0<=x<200,13,critical,radio/tv,882,<100,<1,4,male_single,guarantor,4,real_estate,23,None,own,2,skilled,1,none,yes,good
347,0<=x<200,24,existing_credits_paid,radio/tv,3758,500<=x<1000,unemployed,1,female_divorced/separated/married,None,4,unknown,23,None,rent,1,unemployed,1,none,yes,good
348,None,6,delay_in_past,business,1743,100<=x<500,1<=x<4,1,male_single,None,2,real_estate,34,None,own,2,unskilled,1,none,yes,good
349,0<=x<200,9,critical,education,1136,>=1000,>=7,4,male_single,None,3,unknown,32,None,for_free,2,skilled,2,none,yes,bad
350,None,9,existing_credits_paid,domestic_appliances,1236,<100,<1,1,female_divorced/separated/married,None,4,real_estate,23,None,rent,1,skilled,1,yes,yes,good
351,0<=x<200,9,existing_credits_paid,furniture/equipment,959,<100,1<=x<4,1,female_divorced/separated/married,None,2,car_other,29,None,own,1,skilled,1,none,no,bad
352,None,18,critical,car_used,3229,unknown,unemployed,2,male_single,None,4,unknown,38,None,own,1,management,1,yes,yes,good
353,<0,12,no_credits_taken,radio/tv,6199,<100,1<=x<4,4,male_single,None,2,savings_insurance,28,None,rent,2,skilled,1,yes,yes,bad
354,None,10,existing_credits_paid,education,727,500<=x<1000,>=7,4,male_single,None,4,unknown,46,None,for_free,1,skilled,1,yes,yes,good
355,0<=x<200,24,existing_credits_paid,car_new,1246,<100,<1,4,male_single,None,2,real_estate,23,stores,own,1,unskilled,1,none,yes,bad
356,None,12,critical,radio/tv,2331,unknown,>=7,1,male_single,co-applicant,4,real_estate,49,None,own,1,skilled,1,yes,yes,good
357,None,36,delay_in_past,radio/tv,4463,<100,1<=x<4,4,male_single,None,2,car_other,26,None,own,2,management,1,yes,yes,bad
358,None,12,existing_credits_paid,radio/tv,776,<100,1<=x<4,4,male_married/widowed,None,2,real_estate,28,None,own,1,skilled,1,none,yes,good
359,<0,30,existing_credits_paid,furniture/equipment,2406,<100,4<=x<7,4,female_divorced/separated/married,None,4,real_estate,23,None,rent,1,skilled,1,none,yes,bad
360,0<=x<200,18,existing_credits_paid,education,1239,unknown,1<=x<4,4,male_single,None,4,unknown,61,None,for_free,1,skilled,1,none,yes,good
361,>=200,12,existing_credits_paid,radio/tv,3399,unknown,>=7,2,male_single,None,3,car_other,37,None,own,1,management,1,none,yes,good
362,>=200,12,delay_in_past,car_new,2247,<100,1<=x<4,2,female_divorced/separated/married,None,2,car_other,36,stores,own,2,skilled,1,yes,yes,good
363,None,6,existing_credits_paid,furniture/equipment,1766,<100,1<=x<4,1,male_married/widowed,None,2,savings_insurance,21,None,rent,1,skilled,1,none,yes,good
364,<0,18,existing_credits_paid,furniture/equipment,2473,<100,unemployed,4,male_single,None,1,car_other,25,None,own,1,unemployed,1,none,yes,bad
365,None,12,existing_credits_paid,business,1542,<100,4<=x<7,2,male_single,None,4,car_other,36,None,own,1,skilled,1,yes,yes,good
366,None,18,critical,car_used,3850,<100,4<=x<7,3,male_single,None,1,car_other,27,None,own,2,skilled,1,none,yes,good
367,<0,18,existing_credits_paid,furniture/equipment,3650,<100,<1,1,female_divorced/separated/married,None,4,car_other,22,None,rent,1,skilled,1,none,yes,good
368,<0,36,existing_credits_paid,furniture/equipment,3446,<100,>=7,4,male_single,None,2,car_other,42,None,own,1,skilled,2,none,yes,bad
369,0<=x<200,18,existing_credits_paid,furniture/equipment,3001,<100,4<=x<7,2,female_divorced/separated/married,None,4,real_estate,40,None,rent,1,skilled,1,none,yes,good
370,None,36,existing_credits_paid,car_new,3079,unknown,1<=x<4,4,male_single,None,4,real_estate,36,None,own,1,skilled,1,none,yes,good
371,None,18,critical,radio/tv,6070,<100,>=7,3,male_single,None,4,car_other,33,None,own,2,skilled,1,yes,yes,good
372,None,10,critical,furniture/equipment,2146,<100,<1,1,female_divorced/separated/married,None,3,real_estate,23,None,rent,2,skilled,1,none,yes,good
373,None,60,critical,car_new,13756,unknown,>=7,2,male_single,None,4,unknown,63,bank,for_free,1,management,1,yes,yes,good
374,0<=x<200,60,all_credits_paid_bank,others,14782,100<=x<500,>=7,3,female_divorced/separated/married,None,4,unknown,60,bank,for_free,2,management,1,yes,yes,bad
375,<0,48,all_credits_paid_bank,business,7685,<100,4<=x<7,2,female_divorced/separated/married,guarantor,4,car_other,37,None,rent,1,skilled,1,none,yes,bad
376,None,18,delay_in_past,radio/tv,2320,<100,unemployed,2,male_married/widowed,None,3,real_estate,34,None,own,2,skilled,1,none,yes,good
377,None,7,delay_in_past,radio/tv,846,unknown,>=7,3,male_single,None,4,unknown,36,None,for_free,1,skilled,1,none,yes,good
378,0<=x<200,36,existing_credits_paid,car_new,14318,<100,>=7,4,male_single,None,2,unknown,57,None,for_free,1,management,1,yes,yes,bad
379,None,6,critical,car_new,362,100<=x<500,1<=x<4,4,female_divorced/separated/married,None,4,car_other,52,None,own,2,unskilled,1,none,yes,good
380,<0,20,existing_credits_paid,furniture/equipment,2212,unknown,4<=x<7,4,male_single,None,4,car_other,39,None,own,1,skilled,1,yes,yes,good
